Doc_Num	Link
42	https://en.wikipedia.org/wiki/Council_for_the_Advancement_of_Standards_in_Higher_Education
43	https://en.wikipedia.org/wiki/SouthFM
44	https://en.wikipedia.org/wiki/USS_T-2
45	https://en.wikipedia.org/wiki/Bavarian_gulden
46	https://en.wikipedia.org/wiki/Spyros_Christopoulos
47	https://en.wikipedia.org/wiki/KASE-FM
48	https://en.wikipedia.org/wiki/Deathline
49	https://en.wikipedia.org/wiki/Nate_Bussey
50	https://en.wikipedia.org/wiki/Billy_Brown_(footballer,_born_1900)
51	https://en.wikipedia.org/wiki/G78_Shantou%E2%80%93Kunming_Expressway
52	https://en.wikipedia.org/wiki/Abrogation_of_Old_Covenant_laws
53	https://en.wikipedia.org/wiki/Gigi_in_Paradisco
54	https://en.wikipedia.org/wiki/Gocza%C5%82kowice_Reservoir
55	https://en.wikipedia.org/wiki/Carl_Friedrich_Rungenhagen
56	https://en.wikipedia.org/wiki/Giants_in_the_Earth_(novel)
57	https://en.wikipedia.org/wiki/Airport_problem
58	https://en.wikipedia.org/wiki/Treasure_of_Love
59	https://en.wikipedia.org/wiki/John_Breen_(Australian_politician)
60	https://en.wikipedia.org/wiki/2004_Ladies_German_Open
61	https://en.wikipedia.org/wiki/Khalif_Barnes
62	https://en.wikipedia.org/wiki/Margriet_de_Moor
63	https://en.wikipedia.org/wiki/Eupithecia_dalhousiensis
64	https://en.wikipedia.org/wiki/Fleming_Lee
65	https://en.wikipedia.org/wiki/Agalega_creole
66	https://en.wikipedia.org/wiki/List_of_assassinations_in_1909
67	https://en.wikipedia.org/wiki/Schutter_(Kinzig)
68	https://en.wikipedia.org/wiki/Huda_Naccache
69	https://en.wikipedia.org/wiki/Kuhpayeh_District
70	https://en.wikipedia.org/wiki/Digit_sum
71	https://en.wikipedia.org/wiki/Languages_of_the_Gambia
72	https://en.wikipedia.org/wiki/F%C5%91v%C3%A1rosi_TK
73	https://en.wikipedia.org/wiki/Thomas_Fairfax,_5th_Lord_Fairfax_of_Cameron
74	https://en.wikipedia.org/wiki/2,7,4%27-Trihydroxyisoflavanone_4%27-O-methyltransferase
75	https://en.wikipedia.org/wiki/Full_of_Fire
76	https://en.wikipedia.org/wiki/Sheelytown_(Omaha)
77	https://en.wikipedia.org/wiki/Ukhimath
78	https://en.wikipedia.org/wiki/Breeders%27_Cup_Sprint_top_three_finishers
79	https://en.wikipedia.org/wiki/Ablett
80	https://en.wikipedia.org/wiki/Portengen
81	https://en.wikipedia.org/wiki/Katesbridge
82	https://en.wikipedia.org/wiki/Spellemann
83	https://en.wikipedia.org/wiki/Roudouallec
84	https://en.wikipedia.org/wiki/West,_Bruce_and_Laing
85	https://en.wikipedia.org/wiki/For_the_Term_of_His_Natural_Life_(1908_film)
86	https://en.wikipedia.org/wiki/Aakasa_Ramanna
87	https://en.wikipedia.org/wiki/Teniposide
88	https://en.wikipedia.org/wiki/Dolendougou
89	https://en.wikipedia.org/wiki/Played_in_Britain
90	https://en.wikipedia.org/wiki/Whitton_Baptist_Church
91	https://en.wikipedia.org/wiki/Peredvizhniki
92	https://en.wikipedia.org/wiki/Potemkin_City_Limits
93	https://en.wikipedia.org/wiki/Criminal_Minds_(season_7)
94	https://en.wikipedia.org/wiki/Nazargunj
95	https://en.wikipedia.org/wiki/Knocknaheeny
96	https://en.wikipedia.org/wiki/UNITE_HERE
97	https://en.wikipedia.org/wiki/Elizabeth_S._Wiskemann
98	https://en.wikipedia.org/wiki/Iestyn
99	https://en.wikipedia.org/wiki/Marwa_Barhoumi
100	https://en.wikipedia.org/wiki/Olavarr%C3%ADa_Partido
