Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward,video_Gender,video_Lighting
38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,33.333,25.0,25.0,100.0,0.0,0.0,0.0,0.0,25.0,93.3,0.0
38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,33.333,25.0,25.0,50.0,0.0,0.0,0.0,0.0,25.0,93.3,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,0.0,25.0,50.0,0.0,0.0,0.0,0.0,25.0,93.3,0.0
39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0
39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0
39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0
41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,93.3,0.0
42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,93.3,0.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,0.0,11.111,0.0,50.0,93.3,0.0
43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,0.0,11.111,0.0,25.0,93.3,0.0
44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,93.3,0.0
45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0
46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,33.333,0.0,0.0,0.0,93.3,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,66.667,0.0,0.0,0.0,93.3,0.0
50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,0.0,25.0,0.0,0.0,33.333,0.0,0.0,0.0,93.3,0.0
50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,0.0,25.0,0.0,0.0,33.333,0.0,0.0,0.0,93.3,0.0
50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,0.0,25.0,25.0,0.0,33.333,0.0,0.0,0.0,93.3,0.0
50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,25.0,0.0,33.333,0.0,0.0,0.0,93.3,0.0
51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,25.0,0.0,33.333,0.0,20.0,0.0,93.3,0.0
51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,25.0,0.0,33.333,0.0,20.0,25.0,93.3,0.0
51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,50.0,0.0,33.333,0.0,20.0,25.0,93.3,0.0
51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,50.0,0.0,33.333,0.0,20.0,50.0,93.3,0.0
52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,50.0,0.0,33.333,0.0,0.0,50.0,93.3,0.0
52.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,50.0,0.0,33.333,0.0,0.0,25.0,93.3,0.0
52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.667,25.0,25.0,25.0,0.0,33.333,0.0,0.0,25.0,93.3,0.0
52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,25.0,25.0,25.0,0.0,33.333,0.0,0.0,25.0,93.3,0.0
