Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,Forward,Backward,video_Gender,video_HairBangs,video_Lighting
8.9,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
9.0,33.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
9.2,16.667,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
10.0,16.667,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,66.667,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
11.5,33.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,66.667,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
11.8,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,66.667,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
12.1,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
12.5,83.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
19.3,50.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
19.7,16.667,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
20.3,0.0,0.0,25.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
20.7,0.0,0.0,50.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,66.667,0.0,0.0,0.0,100.0,92.9,0.0
20.9,0.0,0.0,75.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,66.667,0.0,0.0,0.0,100.0,92.9,0.0
21.2,0.0,0.0,100.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,66.667,0.0,0.0,0.0,100.0,92.9,0.0
21.4,0.0,0.0,100.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,33.333,0.0,0.0,0.0,100.0,92.9,0.0
21.7,0.0,0.0,75.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,33.333,0.0,0.0,0.0,100.0,92.9,0.0
21.8,0.0,0.0,75.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
22.1,0.0,0.0,50.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
27.8,16.667,0.0,50.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
28.5,50.0,0.0,50.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
28.7,83.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
29.1,83.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,92.9,0.0
30.4,83.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
30.6,66.667,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
30.7,66.667,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
30.8,50.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
30.9,33.333,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.9,0.0
