Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward,video_Gender,video_HairBangs,video_Lighting
17.3,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,50.0,25.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
17.4,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,50.0,25.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
17.7,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,25.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
19.5,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
20.3,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
20.7,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
22.8,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
24.6,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.333,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
44.2,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.333,0.0,50.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
44.3,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,50.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
44.9,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,50.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
45.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,25.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
46.3,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,25.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
49.7,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
50.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
50.1,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
50.6,60.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
51.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
51.5,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
51.8,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
52.0,40.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
52.3,20.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
52.6,20.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,66.667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
52.9,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
53.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,66.667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.0
